label,l0_x,l0_y,l0_z,l1_x,l1_y,l1_z,l2_x,l2_y,l2_z,l3_x,l3_y,l3_z,l4_x,l4_y,l4_z,l5_x,l5_y,l5_z,l6_x,l6_y,l6_z,l7_x,l7_y,l7_z,l8_x,l8_y,l8_z,l9_x,l9_y,l9_z,l10_x,l10_y,l10_z,l11_x,l11_y,l11_z,l12_x,l12_y,l12_z,l13_x,l13_y,l13_z,l14_x,l14_y,l14_z,l15_x,l15_y,l15_z,l16_x,l16_y,l16_z,l17_x,l17_y,l17_z,l18_x,l18_y,l18_z,l19_x,l19_y,l19_z,l20_x,l20_y,l20_z
A,-0.9155486077802624,0.9752185370865273,-4.2097329355783586e-07,-0.15117445185921102,0.7833541501078687,-0.011894636787474155,0.3833690813344206,0.22400213410334313,-0.011766239069402218,0.6593768649390904,-0.3338327068517618,-0.013839701190590858,1.0,-0.5938223768169905,-0.010577945969998837,0.14022873826918658,-0.3684133338352058,0.015262164175510406,0.26657127966078004,-0.8544228057930036,-0.006521753501147032,0.1458151411071192,-0.37031378534862464,-0.015964588150382042,0.06871066203590398,-0.1268907485589258,-0.017861278727650642,-0.2149001770974664,-0.4582027957316059,0.012790102511644363,-0.07983067739195204,-0.9332382066347437,-0.010330460034310818,-0.1794428871994251,-0.3652138968486522,-0.012997860088944435,-0.2599631186209419,-0.16232023763765505,-0.0075768413953483105,-0.5836911647590567,-0.4827462336527668,0.00499938428401947,-0.4367325978194474,-0.9752185370865273,-0.019165024161338806,-0.48700428835447107,-0.42371978398451027,-0.005326596554368734,-0.5591292970812732,-0.20136336467381127,0.011810922995209694,-1.0,-0.47054089305290325,-0.004246438853442669,-0.8461961841345097,-0.8679794536326847,-0.016370758414268494,-0.8115735435533414,-0.4888817807643007,-0.002689473098143935,-0.8456779643677836,-0.28160449461156084,0.012454422190785408
B,-0.31586284964817724,1.0000000668077111,2.724097498685296e-07,0.022860975201957484,0.8804543485540005,-0.030213525518774986,0.2966455670099603,0.5120244304219512,-0.03740173950791359,0.2464140070294183,0.13658620524094914,-0.04208942502737045,0.015320967849546185,-0.009836522421692232,-0.04645434021949768,0.2704699494906981,0.0019139741154859473,-0.010392128489911556,0.349436664018409,-0.38713805920392463,-0.02198474109172821,0.36708049144464905,-0.6215138066151926,-0.03567530959844589,0.36879664792754907,-0.8281531747603318,-0.04796374961733818,0.061388358658355076,-0.06573560322775666,-0.010131927207112312,0.15025900458826452,-0.480251262019932,-0.020366953685879707,0.20050695472726465,-0.7588015150919956,-0.03576405346393585,0.23249306157381686,-1.0,-0.04863256216049194,-0.1415962713814739,-0.03164817117453924,-0.014705074019730091,-0.06904345342776559,-0.4291062179361958,-0.028813425451517105,0.0001743235875135141,-0.6977360158321805,-0.046820785850286484,0.04689090719437988,-0.927731337510864,-0.06050104647874832,-0.36879664792754907,0.06756983120541865,-0.02256198599934578,-0.3598579543354152,-0.2541027060775153,-0.03977510705590248,-0.3506855228313571,-0.4807834967850793,-0.052632346749305725,-0.3427988279967779,-0.6923501563166824,-0.06247195601463318
C,-0.8427077148264971,1.0,4.4464695747592486e-07,-0.1472349538173377,0.8247307724711445,0.02813912183046341,0.2406782466996263,0.4865610923911755,0.03900277987122536,0.5621940672366629,0.20126704132135764,0.03398166969418526,0.8427077148264971,-0.12601245369444555,0.027870554476976395,-0.12050594858193195,-0.2254448460781069,0.09078624099493027,0.03951072456531345,-0.6821884898760323,0.09647182375192642,0.3287022309576465,-0.8226006868297272,0.08854565024375916,0.560273333532461,-0.8129991613867698,0.08200165629386902,-0.2640032403340148,-0.315246111753216,0.06132912635803223,-0.12503855866214067,-0.9096555979810598,0.061645179986953735,0.24829153147974048,-1.0,0.04567648097872734,0.5321963322022792,-0.8239168046384782,0.03607215732336044,-0.3969525697983779,-0.3559722294588313,0.02724699303507805,-0.22388696227660254,-0.9528581763182642,0.024761863052845,0.1980082232583707,-0.9857047317957909,0.014249414205551147,0.5105370459838918,-0.8017687626818318,0.008296228013932705,-0.4693122608040266,-0.3133995821265683,-0.00714885164052248,-0.18415429519051763,-0.7902991428893273,-0.011910958215594292,0.16693707400463736,-0.862980697429927,-0.015796145424246788,0.4591888958553808,-0.7596546001103417,-0.017290381714701653
D,-0.4102607395966237,0.9999998951277836,1.5102799011401657e-07,-0.03639233702910015,0.9070023598346123,-0.036983929574489594,0.23098462216742766,0.6523795401017722,-0.05663782358169556,0.27460223541421486,0.3511676577440686,-0.07532613724470139,0.14833356999496822,0.052187246405871836,-0.09417146444320679,0.2611653778220851,-0.013936573703040057,-0.024549921974539757,0.3946794549245581,-0.45712467230054193,-0.04124634712934494,0.4557947877250007,-0.7566149199185269,-0.055200885981321335,0.4842218701778444,-1.0,-0.06665971130132675,0.005765454966087471,-0.08037039608348416,-0.02265857346355915,0.09584146005616537,-0.5505584760137315,-0.052529364824295044,0.0990536960429825,-0.3148312176062833,-0.07167696952819824,0.09979136721279223,-0.07129674705261879,-0.07866351306438446,-0.2420150818831778,-0.06108397600775383,-0.02384699508547783,-0.17603032233314672,-0.5214527654488835,-0.04970027506351471,-0.11824908703492056,-0.3678747456586573,-0.06126851215958595,-0.11355353842004133,-0.11482354096004642,-0.06364187598228455,-0.4842218701778444,0.022325092544487318,-0.02836228534579277,-0.4436168162179429,-0.3539501273882812,-0.047899458557367325,-0.3495042795205326,-0.3188662810025868,-0.05573757737874985,-0.3030293178670585,-0.14959046350792948,-0.05819493159651756
F,-0.5728038768159053,1.0,-3.841533953163889e-07,0.05953777013093035,0.8613593543900193,-0.012688891030848026,0.5246990485486438,0.3846668265887163,-0.014948450028896332,0.5001886613570001,-0.15099207876818452,-0.019432397559285164,0.27395378846639634,-0.46250952055836125,-0.021585512906312943,0.4487855998890302,-0.2732984050002577,0.004996905103325844,0.5906299889475624,-0.8452908470926744,-0.017227167263627052,0.479620119381598,-0.563366513977166,-0.03195195645093918,0.3638752633464389,-0.2089753811245744,-0.037206728011369705,0.09469113940642619,-0.3857466185712768,0.0028624411206692457,0.200555612468575,-0.9379755904655068,-0.021050984039902687,0.07891453226936387,-0.49441524205602067,-0.030326109379529953,-0.0005787099635466808,-0.11464247559332884,-0.02923334389925003,-0.24017704261710526,-0.4379932476414149,-0.0033262688666582108,-0.173875778745087,-1.0,-0.025484515354037285,-0.22193733897769088,-0.5513666336005558,-0.02298498898744583,-0.27059224395026976,-0.1615965650270839,-0.013910463079810143,-0.5906299889475624,-0.435470180370438,-0.011126619763672352,-0.5314736774457097,-0.8887997192668105,-0.02674058824777603,-0.5039517077829649,-0.6032473932599856,-0.022719595581293106,-0.4945720886816548,-0.31045005755284905,-0.01442331075668335
E,-0.6139837901491598,1.0,-3.737160341188428e-07,0.03769336160938355,0.8626858845621421,-0.012637732550501823,0.5302476436804255,0.4216602468491432,-0.015778081491589546,0.48346813550541284,-0.1180869611277519,-0.021253611892461777,0.215448128671101,-0.4088948439703347,-0.024605590850114822,0.45458347840635216,-0.27173882851626313,0.0036576855927705765,0.6139837901491598,-0.8328208137740453,-0.019056662917137146,0.4978547495560604,-0.5188421590482607,-0.0343097560107708,0.371183556826528,-0.16274576553659362,-0.0399886853992939,0.09897543458924042,-0.386757293431632,0.0010809929808601737,0.23143673642875554,-0.9294525251102824,-0.022539202123880386,0.10226113660161582,-0.452368140737731,-0.032232627272605896,0.013497442946738231,-0.0749413302103069,-0.031995709985494614,-0.2380259044966284,-0.4343151896779928,-0.005401741713285446,-0.13455326015408853,-1.0,-0.026263192296028137,-0.18695072771210106,-0.5367339417894915,-0.024065552279353142,-0.2553064426631595,-0.14013100820311214,-0.015807947143912315,-0.5997005305312224,-0.4205785781143113,-0.01358246523886919,-0.5136611951260633,-0.9002855812168822,-0.027246542274951935,-0.4732848170400453,-0.627439891322814,-0.02300303988158703,-0.46724827220456944,-0.3329252986458631,-0.015239057131111622
F,-0.47237620396847874,1.0,1.0789807447508792e-07,-0.06207847803870923,0.9187893013559087,-0.02475421316921711,0.3025368385846083,0.6987007261594735,-0.038611914962530136,0.47237620396847874,0.4013471243070003,-0.05364053696393967,0.3411109710698371,0.1387092814082114,-0.06657464057207108,0.21249415509552907,0.1088840911112166,-0.005815575830638409,0.3449902962309437,-0.2377674947470882,-0.037480805069208145,0.31172980254725985,-0.1060628232429958,-0.06358476728200912,0.2458827592641395,0.06919406610566496,-0.07562059164047241,0.023534900013258454,-0.006822592622298318,-0.007216612342745066,0.18468501352853267,-0.453850489389691,-0.021919233724474907,0.27845097618770914,-0.7241410241091056,-0.038224972784519196,0.3795554653471505,-1.0,-0.05065175145864487,-0.18812304499198765,-0.019133857451441597,-0.015199695713818073,-0.045781602177659995,-0.43263194479682104,-0.029282094910740852,0.06241894201909327,-0.7086706463850527,-0.04283552244305611,0.16774387505844904,-0.9587702484677757,-0.0524420440196991,-0.4395310326916351,0.03421270159805281,-0.026376692578196526,-0.3966463206701466,-0.3013763147283954,-0.036090075969696045,-0.3700314219881896,-0.5370965515472833,-0.04096725210547447,-0.33649506518193817,-0.7570811324574025,-0.044741470366716385
F,-0.4872001295891874,0.9999999445631471,9.866614902875881e-08,-0.06973379555842152,0.9256469286708426,-0.025575533509254456,0.3196628641050923,0.6945768122501254,-0.03872889652848244,0.4872001295891874,0.37343755387769145,-0.0527910478413105,0.35351260650666777,0.09296765780737712,-0.06464552134275436,0.2410669332366219,0.10262786205226564,-0.003404643852263689,0.36700238855224554,-0.25239706180244503,-0.033295661211013794,0.3259176933479435,-0.12759983595126478,-0.05851086974143982,0.2573336581193757,0.04481919880220918,-0.07033401727676392,0.04919688076785807,-0.018912005194211372,-0.003972313366830349,0.2071125260567068,-0.46417559689691107,-0.017223654314875603,0.30014620915592843,-0.7306990221271763,-0.032963622361421585,0.40451783741723696,-1.0,-0.045106783509254456,-0.16515104158639873,-0.035666020014256145,-0.011357943527400494,-0.023439810157605864,-0.44418362637069003,-0.02481035143136978,0.08706025132186404,-0.7168239539537065,-0.0381639301776886,0.19374381809793717,-0.9654120604647537,-0.04775366187095642,-0.42060605563354286,0.01245106173215108,-0.022056054323911667,-0.3677246198722713,-0.31809971116290886,-0.03212878853082657,-0.3382727938876656,-0.5520009876629719,-0.03741305321455002,-0.30570009483028066,-0.7764928562408203,-0.041430313140153885
F,-0.5968852396768832,1.0,2.517619179798203e-07,-0.12074904272998495,0.9251470887575781,-0.011518680490553379,0.27668504622649764,0.6775396447026065,-0.014754630625247955,0.5532032890356531,0.39729425046107875,-0.021679513156414032,0.5968852396768832,0.09806628491430015,-0.026956593617796898,0.05189078216066801,0.09599493866580867,0.021696534007787704,0.27601318554110316,-0.23824303416883624,-0.0004299892170820385,0.4061284113607068,-0.19089287582482242,-0.02233010344207287,0.4733775814861903,-0.025799193510368745,-0.032257698476314545,-0.09988809863120308,-0.03217453262789184,0.016524959355592728,0.09229365154631598,-0.47569528072898964,0.008551848120987415,0.2449574220213896,-0.7521825841946058,-0.00464519951492548,0.3932084839104102,-0.9897546748522631,-0.014289707876741886,-0.2685175486917091,-0.07486948152325028,0.004521096125245094,-0.1148189611216576,-0.4931899508767605,-0.0038623311556875706,0.03308968906020888,-0.7760884243992555,-0.013069293461740017,0.171172101565916,-1.0,-0.019263898953795433,-0.4671848211825176,-0.06608172963893114,-0.010342177003622055,-0.37562466442888387,-0.42834646757382533,-0.01617240719497204,-0.30578955217501447,-0.675314580055582,-0.018102040514349937,-0.21864210400743375,-0.8786028208243305,-0.019373392686247826
F,-0.13618022175420527,0.9999998897688519,-1.0148927032105348e-07,-0.3888059828176096,0.638136824633046,0.040672946721315384,-0.4730122182409181,0.34228943039817916,0.05515886843204498,-0.36490897222020746,0.0668541992445639,0.06429364532232285,-0.18956428493164457,-0.05415138219938919,0.07418768852949142,-0.3739386669482705,0.04991541964006003,0.012379004620015621,-0.19538030076789223,-0.36579556134440555,0.022236283868551254,-0.11194325829605133,-0.2821458829878726,0.04072638973593712,-0.07053382519941366,-0.137933778858239,0.05491146072745323,-0.1164803723519998,0.030301550533375455,-0.006869372446089983,-0.012376973771380157,-0.5245225723628907,-0.009803161956369877,0.03630683325091718,-0.7983277052983483,-0.0035950655583292246,0.06520414918859954,-1.0,0.002647438319399953,0.10351410286285724,0.09354314436113664,-0.02011721581220627,0.16910339968293112,-0.44082174675363756,-0.02282596193253994,0.2064724202769756,-0.7324119038175912,-0.018772097304463387,0.21340375486973653,-0.9473548162082999,-0.01450259704142809,0.3084950957059897,0.23149676482603432,-0.02812076546251774,0.3915269284774014,-0.2186990387623423,-0.02516346424818039,0.44250354338025577,-0.43716978881696184,-0.016220418736338615,0.4730122182409181,-0.6193817664012374,-0.008888253010809422
